College_Code,Branch_Code,College_Name,Branch_Name,College_Type,University_Name,Seat_Type,Stage,LSTS_rank,LSTS_mark,LVJO_rank,LVJO_mark,LOBCH_rank,LOBCH_mark,GVJS_rank,GVJS_mark,LVJH_rank,LVJH_mark,DEFNT2S_rank,DEFNT2S_mark,GSTS_rank,GSTS_mark,GNT2H_rank,GNT2H_mark,DEFNT3S_rank,DEFNT3S_mark,LSTO_rank,LSTO_mark,LNT1O_rank,LNT1O_mark,GSCS_rank,GSCS_mark,GNT3S_rank,GNT3S_mark,GSCH_rank,GSCH_mark,ORPHAN_rank,ORPHAN_mark,PWDSCH_rank,PWDSCH_mark,LNT1H_rank,LNT1H_mark,LOPENO_rank,LOPENO_mark,PWDNT1S_rank,PWDNT1S_mark,GOBCH_rank,GOBCH_mark,GVJH_rank,GVJH_mark,GOBCS_rank,GOBCS_mark,PWDSEBCS_rank,PWDSEBCS_mark,GOPENH_rank,GOPENH_mark,GNT2S_rank,GNT2S_mark,GOBCO_rank,GOBCO_mark,PWDSTS_rank,PWDSTS_mark,LOBCS_rank,LOBCS_mark,LSCO_rank,LSCO_mark,PWDNT2S_rank,PWDNT2S_mark,DEFOPENS_rank,DEFOPENS_mark,DEFSTS_rank,DEFSTS_mark,GSTH_rank,GSTH_mark,TFWS_rank,TFWS_mark,DEFSCS_rank,DEFSCS_mark,LSTH_rank,LSTH_mark,LNT1S_rank,LNT1S_mark,LNT2O_rank,LNT2O_mark,PWDSEBCH_rank,PWDSEBCH_mark,GNT2O_rank,GNT2O_mark,LSEBCO_rank,LSEBCO_mark,LNT2H_rank,LNT2H_mark,PWDOBCH_rank,PWDOBCH_mark,DEFSEBCS_rank,DEFSEBCS_mark,PWDVJH_rank,PWDVJH_mark,PWDOPENH_rank,PWDOPENH_mark,GSEBCS_rank,GSEBCS_mark,LOPENH_rank,LOPENH_mark,GSEBCO_rank,GSEBCO_mark,GNT1O_rank,GNT1O_mark,LOBCO_rank,LOBCO_mark,GOPENO_rank,GOPENO_mark,LNT3O_rank,LNT3O_mark,GOPENS_rank,GOPENS_mark,GNT1H_rank,GNT1H_mark,GVJO_rank,GVJO_mark,LSEBCS_rank,LSEBCS_mark,PWDNT3S_rank,PWDNT3S_mark,LNT2S_rank,LNT2S_mark,DEFVJS_rank,DEFVJS_mark,EWS_rank,EWS_mark,PWDOPENS_rank,PWDOPENS_mark,LNT3S_rank,LNT3S_mark,GSTO_rank,GSTO_mark,LOPENS_rank,LOPENS_mark,LVJS_rank,LVJS_mark,LSCH_rank,LSCH_mark,GSCO_rank,GSCO_mark,DEFOBCS_rank,DEFOBCS_mark,LSEBCH_rank,LSEBCH_mark,GNT1S_rank,GNT1S_mark,PWDNT3H_rank,PWDNT3H_mark,PWDOBCS_rank,PWDOBCS_mark,GNT3H_rank,GNT3H_mark,LSCS_rank,LSCS_mark,MI_rank,MI_mark,GNT3O_rank,GNT3O_mark,LNT3H_rank,LNT3H_mark,GSEBCH_rank,GSEBCH_mark,PWDSCS_rank,PWDSCS_mark
6004,61210,"Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,Government,ome University Seats Allotted to Other Than Home University Candidate,Home University Seats Allotted to Other Than Home University Candidates,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71697,22.0027085,0,0,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004,61210,"Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,Government,ome University Seats Allotted to Other Than Home University Candidate,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,0,0,36600,75.6269780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10412,95.1387933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9212,95.7080162,0,0,0,0,30244,82.3033972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8086,96.2537025,0,0,11215,94.7538799,7179,96.6791712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32747,79.8773202,0,0,0,0,0,0,17229,91.5967208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13155,93.7686029,0,0,0,0,0,0
6004,61210,"Government College of Engineering & Research, Avasari Khurd",Mechanical Engineering,Government,ome University Seats Allotted to Other Than Home University Candidate,State Level,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4909,97.7343337,0,0,0,0,0,0,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21252,89.2347356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13354,93.6730083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,19110,"Government College of Engineering, Karad",Civil Engineering,Government Autonomous,Shivaji University,State Level,I,28151,84.1837880,0,0,0,0,9450,95.5964891,0,0,0,0,31306,81.2703229,0,0,0,0,0,0,0,0,15782,92.3875495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9939,95.3593129,0,0,0,0,7824,96.3746442,0,0,0,0,9683,95.4903935,0,0,0,0,0,0,0,0,0,0,4393,97.9620953,45187,64.0325022,0,0,0,0,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,9951,95.3520709,0,0,0,0,0,0,0,0,0,0,0,0,7499,96.5310719,0,0,0,0,8748,95.9397609,0,0,17086,91.6720378,0,0,19864,90.0766206,40566,70.7425968,0,0,0,0,8083,96.2558751,25766,86.0909743,0,0,0,0,0,0,0,0,10060,95.3060840,0,0,46309,62.3874771,0,0,19608,90.2229094,0,0,0,0,0,0,0,0,0,0
6005,24610,"Government College of Engineering, Karad",Information Technology,Government Autonomous,Shivaji University,State Level,I,42713,67.8059573,0,0,0,0,15494,92.5414425,0,0,0,0,62670,33.6073231,0,0,0,0,0,0,0,0,16234,92.1453039,6182,97.1444711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7525,96.5180363,0,0,0,0,6819,96.8457377,0,0,0,0,7115,96.7088635,0,0,0,0,7075,96.7276928,0,0,0,0,2517,98.8007213,0,0,0,0,0,0,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,7122,96.7056046,0,0,0,0,0,0,0,0,0,0,0,0,5453,97.4823114,0,0,0,0,7472,96.5433833,0,0,8089,96.2522541,0,0,13187,93.7548431,28025,84.2913320,0,0,0,0,5423,97.4949849,0,0,0,0,0,0,0,0,0,0,9926,95.3658307,0,0,0,0,0,0,15185,92.7112679,0,0,0,0,0,0,0,0,0,0
6005,29310,"Government College of Engineering, Karad",Electrical Engineering,Government Autonomous,Shivaji University,State Level,I,16556,91.9696849,0,0,0,0,15414,92.5888777,0,0,0,0,45264,63.9133709,0,0,0,0,0,0,0,0,18175,91.0506724,11137,94.7940731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10896,94.9074108,0,0,0,0,10945,94.8842363,0,0,0,0,11459,94.6256961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28332,84.0110658,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,9640,95.5088606,0,0,0,0,0,0,0,0,0,0,0,0,8313,96.1421754,0,0,0,0,8558,96.0313724,0,0,14686,92.9882752,0,0,21490,89.0877226,75725,17.8099404,21391,89.1492798,0,0,8277,96.1624530,17642,91.3599067,0,0,0,0,22529,88.4004548,0,0,10642,95.0243694,0,0,67025,27.0011515,0,0,16209,92.1561669,0,0,0,0,0,0,0,0,0,0
6005,37210,"Government College of Engineering, Karad",Electronics and Telecommunication Engg,Government Autonomous,Shivaji University,State Level,I,85959,2.6835309,0,0,0,0,19795,90.1135549,0,0,0,0,84525,5.4199286,0,0,0,0,0,0,0,0,25237,86.4805950,13347,93.6766293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11835,94.4374036,0,0,0,0,12553,94.0781993,0,0,0,0,8243,96.1798339,0,0,0,0,12119,94.2932874,0,0,0,0,6013,97.2252196,0,0,0,0,0,0,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,11115,94.8027636,0,0,0,0,0,0,0,0,0,0,0,0,9057,95.7818848,0,0,0,0,10220,95.2260597,0,0,17033,91.7020922,0,0,23607,87.6498193,14861,92.8854385,0,0,0,0,9007,95.8075940,0,0,0,0,0,0,0,0,0,0,21665,88.9711261,0,0,0,0,0,0,22856,88.1672617,0,0,0,0,0,0,0,0,0,0
6005,61210,"Government College of Engineering, Karad",Mechanical Engineering,Government Autonomous,Shivaji University,State Level,I,na,a,0,0,0,0,13640,93.5307025,0,0,0,0,48433,59.0680967,0,0,0,0,0,0,0,0,16344,92.0862814,7084,96.7237097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6889,96.8153212,0,0,0,0,10176,95.2485100,0,0,0,0,13412,93.6447644,0,0,0,0,0,0,0,0,0,0,3545,98.3372320,0,0,0,0,0,0,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,5946,97.2610676,0,0,0,0,0,0,0,0,0,0,0,0,5287,97.5594389,0,0,0,0,14234,93.2247272,0,0,12200,94.2541805,0,0,13910,93.3923799,31143,81.4386999,0,0,0,0,10836,94.9392757,20732,89.5638855,0,0,0,0,8930,95.8434420,0,0,8177,96.2124230,0,0,76155,17.2946706,0,0,20258,89.8517558,0,0,0,0,0,0,0,0,0,0
6006,19110,"College of Engineering, Pune",Civil Engineering,Government Autonomous,Savitribai Phule Pune University,State Level,I,13900,93.3974494,0,0,0,0,3611,98.3075397,0,0,0,0,15858,92.3509773,0,0,0,0,0,0,0,0,5571,97.4308930,1439,99.2866609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866,99.0965579,0,0,0,0,1456,99.2786947,0,0,0,0,2713,98.7065750,0,0,0,0,0,0,0,0,0,0,1416,99.2971619,0,0,0,0,0,0,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,2364,98.8691584,0,0,0,0,0,0,0,0,0,0,0,0,1255,99.3724789,0,0,0,0,4109,98.0873822,0,0,4914,97.7325232,0,0,4021,98.1257649,10742,94.9816415,0,0,0,0,2312,98.8926950,11563,94.5750020,0,0,0,0,0,0,0,0,2190,98.9484585,0,0,19567,90.2482565,0,0,6740,96.8812236,0,0,0,0,0,0,0,0,13375,93.6628694
6006,24510,"College of Engineering, Pune",Computer Engineering,Government Autonomous,Savitribai Phule Pune University,State Level,I,8732,95.9473650,0,0,0,0,865,99.5477358,0,0,0,0,5187,97.6072362,0,0,0,0,0,0,0,0,968,99.4981279,600,99.6704880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,99.8490039,4352,97.9798382,0,0,245,99.8595048,0,0,68888,24.8415808,303,99.8298125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,99.7186475,0,0,0,0,0,0,0.,.,0,0,0,0,0,0,0,0,0,0,197,99.8877487,0,0,0,0,0,0,0,0,0,0,0,0,68,99.9645141,0,0,0,0,733,99.6082067,0,0,1428,99.2917303,0,0,0,0,2886,98.6334306,0,0,0,0,206,99.8812309,2785,98.6757964,0,0,0,0,0,0,0,0,203,99.8823172,0,0,5052,97.6687934,0,0,2273,98.9118863,0,0,0,0,0,0,0,0,30014,82.5040012
